,index,cdi,selic,igp-m,ipca
0,2023-01-01,1.1233,1.1200,0.2100,0.5300
1,2023-02-01,0.9181,0.9200,-0.0600,0.8400
2,2023-03-01,1.1747,1.1700,0.0500,0.7100
3,2023-04-01,0.9181,0.9200,-0.9500,0.6100
4,2023-05-01,1.1233,1.1200,-1.8400,0.2300
5,2023-06-01,1.0720,1.0700,-1.9300,-0.0800
6,2023-07-01,1.0720,1.0700,-0.7200,0.1200
7,2023-08-01,1.1375,1.1400,-0.1400,0.2300
8,2023-09-01,0.9729,0.9700,0.3700,0.2600
9,2023-10-01,0.9976,1.0000,0.5000,0.2400
10,2023-11-01,0.9160,0.9200,0.5900,0.2800
11,2023-12-01,0.8945,0.8900,0.7400,0.5600
12,2024-01-01,0.9667,0.9700,0.0700,0.4200
13,2024-02-01,0.8002,0.8000,-0.5200,0.8300
14,2024-03-01,0.8317,0.8300,-0.4700,0.1600
15,2024-04-01,0.8874,0.8900,0.3100,0.3800
16,2024-05-01,0.8324,0.8300,0.8900,0.4600
17,2024-06-01,0.7883,0.7900,0.8100,0.2100
18,2024-07-01,0.9071,0.9100,0.6100,0.3800
19,2024-08-01,0.8675,0.8700,0.2900,-0.0200
20,2024-09-01,0.8352,0.8400,0.6200,0.4400
21,2024-10-01,0.9280,0.9300,1.5200,0.5600
22,2024-11-01,0.7930,0.7900,1.3000,0.3900
23,2024-12-01,0.9314,0.9300,0.9400,0.5200
24,2025-01-01,1.0132,1.0100,0.2700,0.1600
25,2025-02-01,0.9853,0.9900,1.0600,1.3100
26,2025-03-01,0.9640,0.9600,-0.3400,0.5600
27,2025-04-01,1.0559,1.0600,0.2400,0.4300
28,2025-05-01,1.1388,1.1400,-0.4900,0.2600
29,2025-06-01,1.0971,1.1000,-1.6700,0.2400
30,2025-07-01,1.2757,1.2800,-0.7700,0.2600
31,2025-08-01,1.1642,1.1600,0.3600,-0.1100
32,2025-09-01,1.2199,1.2200,0.4200,0.4800
33,2025-10-01,1.2757,1.2800,-0.3600,0.0900
34,2025-11-01,1.0527,1.0500,0.2700,0.1800
35,2025-12-01,1.2199,1.2200,-0.0100,0.3300
